SongNumber,SongID,TrackID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,Rock,Pop,Electronic,Jazz,Metal,RAndB,Folk,HipHop
28,SOAJVDQ12A6D4FA38B,TRBGBUY128F422B413,234413,Twinkle Echo,ARRJNTE1187FB44E12,,,,Casiotone For The Painfully Alone,0.0,188.94322,7,0.698,99.077,4,1.0,Attic Room,2003,0,0,1,0,0,0,0,0
33,SOGIUWE12A670215DC,TRBGODE128E0785BC8,7978,Sessions@AOL - EP,AR6ET9I1187FB53C65,56,Scotland,-4,Ben Jelen,0.0,219.61098,8,0.907,136.217,4,0.302,Come On (Sessions@AOL Version),0,0,0,0,0,0,0,0,0
36,SOAHRTY12AC468AF45,TRBGOWY12903D0E2A0,699988,The Dystopia Journals,AR3YJMO11C8A42B348,60.3907,Bergen,5.33275,Vulture Industries,0.0,379.29751,7,0.435,100.078,4,1.0,The Benevolent Path,2007,0,0,0,0,1,0,0,0
38,SOZOPPF12A8A9D9130,TRBGOPC128F4231959,127716,Doomed Dark Years,ARF3L8J1187B9B7866,37.97615,Athens Greece,23.73641,Astarte,0.0,568.78975,0,0.355,128.518,4,0.774,Voyage to eternal Life,1998,0,0,0,0,1,0,0,0
41,SOWKKCU12A8C13EDEA,TRBGEUJ128F42B06B8,308610,I Wish I Was A Punk Rocker (With Flowers In My Hair),ARY80281187FB3E380,56.65286,Scotland,-3.99667,Sandi Thom,0.0,425.19465,11,0.647,121.982,4,0.971,I Wish I Was A Punk Rocker (With Flowers In My Hair),2006,1,1,0,0,0,0,1,0
42,SOHKITS12AB017EE8A,TRBGEIB128F930403D,534167,Ba'sha' ak,ARZ507V1187FB4425E,,,,Ragheb Alama,0.0,200.64608,9,0.496,94.709,1,0.868,Gheera Away,0,0,0,0,0,0,0,0,0
44,SOILWRT12AB0186D99,TRBGEGG12903CDD71F,816059,Live in Asia,AR6AGJV1187FB504BA,34.76667,Toyohashi Japan,137.38333,Kitaro,0.0,173.45261,4,0.458,81.623,5,0.718,Earth Born,1983,0,0,1,1,0,0,0,0
45,SOPVZSM12A8C13E1F1,TRBGEZA128F4286D23,163978,Thelema 6,AR1OBRC1187FB59AD4,52,POLAND,20,Behemoth,0.0,209.05751,5,0.38,156.758,4,0.417,Hello Space Boy,2000,0,0,0,0,0,0,0,0
55,SOFVUCF12A8C141ABB,TRBGQFF128F42BAE97,312553,On Your Sleeve,ARE0OLY1187B9AD19F,40.79263,Whitestone Queens NY,-73.80817,Jesse Malin,0.0,238.52363,2,0.006,88.011,4,0.26,Walk On The Wild Side,2008,0,1,0,0,0,0,0,0
56,SOSESNX12A58A77DE9,TRBGQIX128F934E7F4,647068,Doin' The D,ARZVJ641187FB36FA4,,,,Alexander Zonjic,0.0,259.21261,2,0.062,113.41,5,0.613,Little Sunflower,0,0,0,0,1,0,0,0,0
58,SOBCMRK12A8AE488DF,TRBGQKE128F425EDC9,280446,The Beyonce Experience Live Audio,AR65K7A1187FB4DAA4,,,,Beyoncé,0.0,419.70893,3,0.55,109.522,4,0.694,Dangerously In Love Medley,0,0,0,0,0,0,0,0,0
60,SOUVFZK12AB0182A35,TRBGQWH128F933C413,422111,3 Couleurs : Blanc,ARLE1JH1187B9B630B,,,,Zbigniew Preisner,0.0,63.63383,0,0.403,35.351,1,0.0,The Court,1994,0,0,0,0,0,0,0,0
61,SOCOZST12A67020452,TRBGQAB128E07877E4,9152,Californication,ARE8GLF1187FB52532,,,,Red Hot Chili Peppers,0.0,269.34812,0,0.648,124.915,1,0.0,Parallel Universe (Album Version),1999,0,0,0,0,0,0,0,0
63,SOIUUCE12A6D4F7E2B,TRBGQAO128EF35A1AD,79578,Awake,ARGVJPK1187B9909EA,,,,Josh Groban,0.0,152.0322,1,0.602,91.087,5,0.866,Lullaby [With Ladysmith Black Mambazo] (Album Version),2006,0,0,0,0,0,0,0,0
64,SOVEWXM12AB0181FEC,TRBGAUU128F93382E0,369498,Claude François_ Autrement Dit,ARWNJYQ1187FB56F25,,,,Vincent Baguian,0.0,167.65342,9,0.355,88.24,4,0.895,Chanson Populaire,0,0,0,0,0,0,0,0,0
66,SOPBEBP12AB0181527,TRBGAWQ128F9305F25,400019,Take Everything,ARYXOV81187B99831D,,,,Seventh Day Slumber,0.0,265.82159,5,0.558,118.62,4,0.85,Famous One,2009,0,0,0,0,0,0,0,0
71,SOPPDZH12AF72A283A,TRBGASN128F427BF8F,290244,I'm Glad,AR7C6G11187B9B4C1E,40.84985,The Bronx New York,-73.86641,Jennifer Lopez,0.0,224.39138,5,0.673,93.95,4,0.132,I'm Glad,2002,0,1,0,0,0,1,0,1
72,SOGOLHP12A8AE47A0D,TRBGAVN128F424142C,138028,Things & Other Things,ARD0FN11187B9B25CD,40.85715,New York NY [The Bronx],-73.85678,Bobby Darin,0.0,155.6371,0,0.118,108.462,4,0.732,Theme From Come September (LP Version),2003,0,0,0,0,0,0,0,0
75,SONMZRR12AC4688C8C,TRBGKZD12903D13D23,792359,100 Country Classics,AR6GSIE1187B98C3C7,39.49974,Raines UT,-111.54732,Ned Miller,0.0,128.26077,3,0.833,99.312,1,0.0,From A Jack To A King,1963,0,0,0,0,0,0,0,0
77,SOMJFAX12AB017FAE6,TRBGKHZ128F931C32E,626957,Tectonic Plates 03,AREFFEC1187B98E12F,,,,Digital Mystikz,0.0,299.49342,11,0.913,143.01,4,0.798,Molten,2006,0,0,1,0,0,0,0,0
78,SOGAWLI12AB017E8AB,TRBGKBZ128F931569B,539843,Zeno Beach,ARLWDC31187B9B4D71,,,,Radio Birdman,0.0,174.28853,11,0.059,197.631,4,0.0,Zeno Beach,2006,0,0,0,0,0,0,0,0
79,SOZOULB12AB0184EBB,TRBGKRS128F934AC0A,559844,Love You To Pieces,AR8FMEN1187FB4A657,34.05349,Los Angeles CA,-118.24532,Lizzy Borden,0.0,232.98567,7,0.43,90.131,1,0.0,Love You to Pieces,1985,0,0,0,0,0,0,0,0
82,SOFRTDY12A6D4F662E,TRBGKOU128F148C6C6,47227,Empty Rooms,ARPUBU61187B98A4E6,53.26265,Macclesfield Cheshire England,-2.13468,John Mayall,0.0,193.12281,4,0.0,209.955,4,0.483,Don't Waste My Time,1970,1,0,0,0,0,0,0,0
83,SODAMJC12A6D4F9E2F,TRBGKMB128F146E125,31407,Apologize For Nothing,ARSS4Y41187B9B0AC6,38.41982,Huntington WV,-82.44537,Bobaflex,0.0,151.43138,5,0.129,104.08,4,1.0,Medicine,2005,1,0,0,0,1,0,0,0
84,SONEQCM12AB017BDE2,TRBGKTM128F9315B5E,624339,Die Pfütze des Eisbergs,ARTKTYG1187FB40CBA,,,,Dendemann,0.0,221.98812,11,0.276,106.023,4,1.0,Sachmagehtsnoch,2006,0,0,0,0,0,0,0,1
85,SOPCZSP12A8C13F03A,TRBGKGR128F92EE206,609304,Baladas Do Asfalto e Outros Blue Ao Vivo,ARVLIVA1187B991590,,,,Zeca Baleiro,0.0,364.72118,9,0.62,80.062,4,0.823,Telegrama,2002,1,1,0,0,0,0,0,0
86,SOEYFOZ12A67ADF3F4,TRBGKJU128E079851F,18408,The Road Goes On Forever (10th Anniversary Edition),ARGPFYP1187B98F5CB,39.75911,Dayton OH,-84.19444,The Highwaymen,0.0,282.33098,2,0.967,111.532,3,1.0,The Road Goes On Forever,1995,0,0,0,0,0,0,0,0
87,SOXZVOF12AB0185AF0,TRBGUUF128F9334B97,508013,Arroz Con Habichuela,AR1PNWN1187FB4A404,29.76045,HOUSTON Texas,-95.36978,El Gran Combo De Puerto Rico,0.0,271.64689,7,0.355,192.417,4,0.797,No Hay Manera,2006,0,0,0,0,0,0,0,0
90,SOGDJWU12A58A7DA10,TRBGUUE128F1494FB6,53426,In Bertolt Brecht's Baal,ARJA1841187FB3A029,51.50632,London UK,-0.12714,David Bowie,0.0,243.06893,0,0.588,141.816,3,0.312,Baal's Hymn,1982,0,0,0,0,0,0,0,0
91,SODTNJI12A8C13AA3E,TRBGUKE128F42776B6,158739,Alma_ Corazón Y Vida,ARPCDZM1187B996876,42.18419,Massachusetts,-71.71818,Dyango,0.0,248.16281,6,0.929,112.35,4,0.777,Alma_ Corazón Y Vida,0,0,0,0,0,0,0,0,0
92,SOAJDNN12AB01852E5,TRBGUHQ128F933699C,465560,8WMNovakane,ARJFBZ41187FB560A0,40.84985,New York NY [The Bronx],-73.86641,Black Sheep,0.0,247.30077,1,0.547,88.264,4,0.697,Novakane,0,0,0,0,0,0,1,0,1
93,SOONMNI12A8C134D2D,TRBGUHX128F4279757,290001,Live,ARMSL551187FB3F4B0,,,,K's Choice,0.0,183.09179,1,0.831,87.679,3,0.293,God In My Bed,1998,1,1,0,0,0,0,0,0
94,SOUBXDE12A8C136133,TRBGUPV128F427BCBA,290201,Un Galicien En Bretagne,ARCID1N1187FB51DA0,,,,Carlos Nuñez,0.0,213.89016,7,0.584,162.442,4,0.709,St Patrick's An Dro,2003,0,0,0,0,0,0,1,0
96,SOFMJHO12A58A7C148,TRBGUTI128E07872F0,9045,Real Talk,AR3FE581187FB3F90A,40.6501,Brooklyn NY,-73.94958,Fabolous,0.0,319.92118,1,0.6,90.086,4,1.0,In My Hood (Explicit Album Version),2004,0,0,0,0,0,1,0,1
100,SODKCCT12A67ADA321,TRBGXTO128F9307677,345570,Ministry of Sound Presents 100,AROI96Z1187B9A5304,,,,Mish Mash,0.0,211.90485,0,0.895,124.043,4,1.0,Speechless,2006,0,0,1,0,0,1,0,0
101,SOLAEZZ12A58A77692,TRBGXGG128F4278990,257800,Cactuses Come In Flocks,ARNUPIM11F4C83BD4D,,,,Melt Banana,0.0,27.89832,9,0.008,137.645,3,0.0,So Far So Bad So What?,0,0,0,0,0,0,0,0,0
102,SOLTJYW12A81C23712,TRBGXQP128F4290B22,107850,Lost,ARA65601187FB57BD9,40.71455,New York NY,-74.00712,Roger Sanchez,0.0,589.87057,0,0.03,127.999,4,0.275,Lost,2006,0,1,1,0,0,0,0,0
103,SOLXXZC12A58A7B02D,TRBGXCK12903CEFAE3,600607,Chakra Suite,AROC6N61187FB40B14,,,,Steven Halpern,0.0,223.73832,9,0.742,205.204,4,0.227,6th Chakra: Keynote A - Chakra Suite (Solo Electric Piano Plus Synths),2001,0,0,0,0,0,0,0,0
105,SOJILXR12A8C141B4E,TRBGXWM128F428E59A,221691,Sangre Gitana,AR2PT4M1187FB55B1A,,,,Los Chichos,0.0,199.96689,4,0.821,85.055,4,0.028,Nieve,0,0,0,0,0,0,0,0,0
107,SONCSNW12A6D4F62D7,TRBGXBT128EF34EB68,74971,Peachy Pink,AREN9121187B99D57A,40.71455,New York,-74.00712,Elvira,0.0,291.89179,4,0.442,124.028,4,1.0,Momentum,0,0,0,0,0,0,0,0,0
109,SOPZQPR12A8C137F34,TRBGXHS128F426B568,155036,Le Baptême,AR828WL1187FB47E81,40.71427,NY - New York City,-74.00597,M,0.0,215.95383,6,0.093,93.395,1,0.533,Je Suis Une Cigarette,0,0,0,0,0,0,0,0,0
116,SONHFAB12AB018B767,TRBGRQE128F9353A29,519747,Humboldt Beginnings,AR82DJK1187B991107,34.05349,Los Angeles CA,-118.24532,The Pharcyde,0.0,247.11791,0,0.491,161.853,4,0.628,The ClimbParanoia,2004,0,0,0,0,0,0,0,1
117,SOXQXTB12AB018ADB0,TRBGRAN128F9339A1B,420745,Daylight,ARS0W831187B9AF0B7,,,,Maximilian Hecker,0.0,330.63138,7,0.606,70.784,1,0.0,Creep Live Version,0,0,0,0,0,0,0,0,0
119,SOTUBHO12A6D4F808B,TRBGRFB128F145DA2E,24739,It's A Sorry World,ARDNS031187B9924F0,32.67828,Georgia,-83.22295,Tim Wilson,0.0,154.27873,9,0.662,92.755,4,0.507,It Takes A Village (To Raise A Nut) (Live),0,0,0,0,0,0,0,0,0
120,SOXFQVY12A58A7B456,TRBGRIP128F147FCA6,40838,Both Sides,AR9W3X91187FB3994C,51.49271,Chiswick London England,-0.25801,Phil Collins,0.0,343.43138,3,1.0,94.705,4,0.664,Everyday,1993,1,1,1,0,0,1,0,0
122,SOPXNHL12A58A79B0F,TRBGRWH128F92E3551,384801,Hold On,AR7MNIX1187B9A2A68,34.05349,California - LA,-118.24532,Tyrone Wells,0.0,204.59057,8,0.727,159.9,4,0.629,Need,2005,1,0,0,1,0,0,0,0
123,SOCNBNA12A58A79C7E,TRBGRGT12903CC5019,717115,The Dream,ARV2X851187FB41A78,42.31256,Mass. - Boston,-71.08868,Open Hand,0.0,278.56934,10,0.538,156.581,1,0.0,11th Street,2000,1,0,0,0,0,0,0,0
124,SOVHFHO12AC3DF6DC4,TRBGRNH12903CF9685,603776,Nothing's Changed [Original Recording Remastered],ARS6HDE1187B99CA29,,,,Joe Lynn Turner,0.0,239.35955,7,0.026,122.414,4,0.389,Baby's Got A Habit,0,1,0,0,0,0,0,0,0
126,SOXAOZI12A8C139BB1,TRBGRXO128F4282115,292313,Stop All The World Now (SPECIAL EDITION VERSION),ARXBOZ01187FB38261,44.80171,Bangor Maine,-68.77077,Howie Day,0.0,277.002,10,0.598,180.073,4,0.882,Collide,2003,1,1,0,0,0,0,1,0
129,SORCBTO12A8C13F22B,TRBGRVF12903C9F806,703040,Joe Bonamassa Live From The Royal Albert Hall (Live Audio Version),ARSHZBZ1187B98A445,,,,Joe Bonamassa,0.0,356.04853,4,0.404,85.401,3,1.0,Stop!,2009,1,0,0,0,0,1,0,0
133,SOOOLKN12A8C134363,TRBGFYI128F424742D,256249,Imitations Of Life,ARY0W1O1187FB5B8C0,29.76045,Houston,-95.36978,H-Town,0.0,238.94159,11,0.704,99.81,7,0.907,Here We Go Again,0,0,0,0,0,0,0,0,0
134,SOCVUYU12A67AE217D,TRBGFXC12903D01967,694874,How To Measure A Planet?,ARKAL321187B9AD4BE,,,,The Gathering,0.0,203.49342,6,0.107,91.003,3,1.0,Locked Away,0,1,0,0,0,1,0,0,0
136,SODSJMZ12AB0185E52,TRBGFUW12903CA0E6B,572197,Live! (Digitally Remastered),AR1ABAO1187FB531E1,42.33168,Detroit MI,-83.04792,Alice Cooper,0.0,210.54649,11,0.563,140.456,4,0.0,Goin' To The River,1982,1,0,0,0,0,0,0,0
137,SODRGUS12A8C13312C,TRBGFOD128F423F43E,190811,The Bucket List,AR8IEZO1187B99055E,,,,Marc Shaiman,0.0,81.18812,5,0.049,69.919,3,1.0,Best In LA,2008,0,0,0,0,0,0,0,0
142,SOPPWBB12AB0190513,TRBGLSW12903CE3D8A,774160,Ba-Dop-Boom-Bang,ARMDBW21187FB37126,16.85576,Barbados West Indies,-69.46854,Grandmaster Flash,0.0,190.17098,7,0.095,117.535,4,0.653,Underarms,1987,0,0,0,0,0,0,0,1
143,SORUEDG12A8C13CFEF,TRBGLRU128F42A1F00,117266,Liars,ARVZWQ31187B9B8946,34.05349,LA  NYC,-118.24532,Liars,0.0,265.09016,8,0.124,143.748,4,1.0,Leather Prowler,2007,1,0,0,0,0,0,0,0
144,SOVQYSA12A8C139616,TRBGLCC128F427FE7D,292085,85555,ARWF1KM1187B9908CA,,,,Spliff,0.0,264.41098,11,0.285,107.965,4,0.222,Heut' Nacht,1982,1,1,0,0,0,0,0,0
149,SOUNGLM12AB0187A31,TRBGLRQ12903CA86EE,574824,Mini Monsters EP,ARZ96PB1187B98F5C9,36.16778,Nashville TN,-86.77836,Jars Of Clay,0.0,191.81669,2,0.544,128.018,3,0.395,Love Me,2006,0,0,0,0,0,0,0,0
159,SOATSTU12AF72A64DF,TRBGDXT128F1487E86,45048,Suck Out The Poison,AR6CFZ71187B99AE5B,34.23497,Wilmington NC,-77.94599,He Is Legend,0.0,207.12444,7,0.517,97.969,4,0.542,Stampede,2006,0,0,0,0,0,0,0,0
162,SOZKSGN12A81C20649,TRBGDOU128F93341A2,367592,New Chautauqua,AR1CD5Z1187B98F2C2,38.91391,Lee's Summit MO,-94.37517,Pat Metheny,0.0,338.02404,9,0.562,103.562,4,1.0,Hermitage,1979,0,0,0,1,0,0,0,0
164,SOTGMJA12AB0180F21,TRBGDQS128F9341414,556794,Pacha Ibiza,ARXVADV12086C1203C,,,,Gary Go,0.0,217.86077,0,0.599,159.164,5,1.0,Open Arms,2009,0,0,0,0,0,0,0,0
165,SOLQAII12AB018312B,TRBGDND128F9312B81,495041,The Incredible Kai Winding Trombones,AR3C3C01187B98E800,56.153,Aarhus Denmark,10.20452,Kai Winding,0.0,212.92363,5,0.533,112.222,1,0.179,Doodlin',1961,0,0,0,0,0,0,0,0
167,SOWDRKM12AB01838C7,TRBGNAF128F9339532,509547,Obras Cumbres,AR69GPS1187B99E556,44.00118,New Hampshire,-71.6342,SUMO,0.0,127.05914,7,0.283,105.434,4,0.0,Noche De Paz,1987,1,0,0,0,0,0,0,0
168,SOESBKZ12A8C1445DA,TRBGNUG128F92D43E2,426096,Nineteen Naughty Nine Nature's Fury,AR1ZYLH1187B98C159,40.76732,East Orange NJ,-74.20487,Naughty By Nature,0.0,236.95628,7,0.693,142.82,5,1.0,Ring The Alarm,1999,0,0,0,0,0,0,0,1
170,SOLDPJU12A81C2281E,TRBGNLU128F4221FF2,230683,Discos Fuentes Salsa All Stars- La Biblia De La Salsa Vol. 1 & 2,AROSW2I1187FB44866,,,,Sonora Carruseles,0.0,264.07138,1,0.361,80.672,7,0.638,Que Suene Mi Campana,2000,0,0,0,0,0,0,0,0
172,SOWYQOV12AF729E1A1,TRBGNQC128F428A9D1,104838,Process Of Belief,AR46CAD1187FB4D84B,34.05349,Los Angeles Ca,-118.24532,Bad Religion,0.0,169.87383,7,0.761,166.864,4,0.0,You Don't Belong,2002,1,0,0,0,1,0,0,0
173,SOVXEVL12A6D4FBF1D,TRBGNHU128F4220469,175615,Be Careful How You Vote,ARFZNR41187B990AF7,34.07289,Vance MS,-90.35093,Sunnyland Slim,0.0,246.04689,7,0.566,186.511,4,0.784,Midnight Jump,1994,0,0,0,0,0,0,0,0
174,SOTNMGN12A58A7A6F6,TRBGNNC128F148D427,47639,Business As Usual,ARSQDUN1187B98D7D7,40.60843,allentown Pennsylvania USA,-75.49018,EPMD,0.0,188.31628,10,0.82,186.393,4,0.506,For My People,1990,0,0,0,0,0,0,0,1
175,SOGRSAV12A6701FBBD,TRBGNPE128E078EC14,14297,The Slim Shady LP,ARTH9041187FB43E1F,39.76861,St. Joseph MO,-94.84663,Eminem,0.0,242.62485,1,0.315,90.18,4,0.93,Just Don't Give A Fuck,1998,1,0,0,0,0,1,0,1
177,SOOOBPU12A6D4FC54A,TRBGNPH128F14AD17E,64161,I_ Robot,AR9YV621187B99373E,,,,Marco Beltrami,0.0,256.39138,6,0.192,79.86,4,0.527,1001 Robots,2004,0,0,0,0,0,0,0,0
178,SOXPWVH12A8C13B68E,TRBGNCL128F428F56F,106348,4 In The Morning,ARVBRGZ1187FB4675A,,,,Gwen Stefani,0.0,294.19057,0,0.278,124.517,4,0.0,4 In The Morning,2006,1,1,1,0,0,1,0,1
181,SOHADGT12A8C13C740,TRBGNUV128F426D20F,112167,T.I. VS T.I.P.,ARBS1OC1187FB44CAF,33.749,Atlanta GA,-84.38798,T.I.,0.0,266.84036,1,0.555,87.525,4,1.0,Respect This Hustle (Explicit Album Version),0,0,0,0,0,0,0,0,1
182,SOGPGIO12A81C21C22,TRBGNAF128F4253180,275719,The Secret Garden,ARLE1JH1187B9B630B,,,,Zbigniew Preisner,0.0,87.45751,4,0.768,120.234,4,0.326,Leaving The Docks,1993,0,0,0,0,0,0,0,0
184,SOTLQAD12A8C1432B4,TRBGZKO128F92DB016,428920,Intimacy - Remixed,ARI7DOB1187FB37AA4,51.50853,London England,-0.12574,Bloc Party,0.0,247.97995,6,0.355,160.26,7,0.969,Zephyrus,2008,1,1,1,0,0,0,0,0
186,SOIXLNS12A8C146E42,TRBGZLM128F4221E63,230653,Losers_ Kings And Things We Don't Understand,ARG8DXO1187B9AF743,29.65163,Gainesville FL,-82.32483,Less Than Jake,0.0,82.65098,9,0.765,192.239,1,0.095,Fucked,1995,1,0,0,0,0,0,0,0
187,SOMIFOI12A6D4F6A76,TRBGZQQ128EF354F69,77351,Trauma,AROTIMO1187FB532BF,33.89585,Compton CA,-118.22007,DJ Quik,0.0,227.57832,11,0.021,94.393,4,1.0,Ladies And Thugs,0,0,0,0,0,0,0,0,0
190,SOMECMH12A8C13833C,TRBGZRZ128F42668B2,206964,Star Condemn'd,AR4R9BI1187FB44767,41.99998,Georgia,43.4999,Earth,0.0,525.47873,6,0.319,121.847,4,0.539,Endless Winter,0,0,0,0,0,0,0,0,0
191,SOKIBDZ12AB0183317,TRBGZUR128F92FD8ED,443912,The Greatest Hits - Vol. 2,ARG4KW31187FB51B7C,54.75844,United Kingdom,-2.69531,Atomic Rooster,0.0,249.93914,9,0.959,119.981,4,0.65,Take It For Granted,2005,0,0,0,0,0,0,0,0
192,SOEZIKR12AB0184E1D,TRBGZFI12903CA54B6,661646,Louder VIP,AR9VEMN1187FB4D75B,51.50632,London,-0.12714,Caspa,0.0,272.32608,1,0.805,93.382,1,1.0,Power Shower,0,0,0,0,0,0,0,0,0
193,SOVIMXL12AB01860DE,TRBGZRQ12903CFAAA4,692436,Please Help Me I'm Fallin',AR0X3JJ1187FB3A9A7,30.98657,McLellan FL,-86.88635,Hank Locklin,0.0,150.282,7,0.776,116.279,1,0.0,Let Me Be the One,1995,0,0,0,0,0,0,0,0
195,SONRUUU12A8C13C821,TRBGPCC128F428FF02,92649,Join The Army,ARNDB1X1187B990AA0,34.05349,Venice CA,-118.24532,Suicidal Tendencies,0.0,167.78404,4,0.022,166.09,7,0.369,Looking In Your Eyes,1987,0,0,0,0,1,0,0,0
199,SOOIPTF12A8C139366,TRBGPZX128F4285105,293906,La Calle Es Tuya?,ARZ4Y2H1187FB3C36F,,,,Estopa,0.0,185.83465,2,0.834,146.051,4,0.564,Apagon,0,1,0,0,0,0,0,0,0
200,SOLSWBA12A8C141B9A,TRBGPXH128F428C912,238650,The Italian Sessions,AR7LIU31187B98EF11,,,,Rita Chiarelli,0.0,228.38812,8,1.0,99.381,1,0.907,Chiove,2006,0,0,0,0,0,0,0,0
201,SOFKQMW12A8C1326B5,TRBGPAX12903CEC037,599412,I Ain't Gonna Be Worried No More 1929-1941,ARE2QID1187B98FA19,35.74595,Ripley TN,-89.53176,Sleepy John Estes,0.0,188.26404,11,0.789,78.498,1,0.527,Down South Blues,1935,0,0,0,0,0,0,0,0
203,SONXCLB12A8C138FEB,TRBGPGF128F4259319,200685,Rock'N Roll Gumbo,ARA8O8L1187B9AD61D,30.79062,Bogalusa LA,-89.8643,Professor Longhair,0.0,242.31138,7,0.86,143.29,1,0.0,Doin' It,1985,0,0,0,0,0,0,0,0
205,SOOOWIC12A6701C7E5,TRBGPJP128E078ED20,14312,Young Lust: The Aerosmith Anthology,AR12F2S1187FB56EEF,42.35843,Boston MA,-71.05977,Aerosmith,0.0,318.61506,6,0.0,232.709,3,1.0,Crazy,1993,1,1,0,0,1,0,0,0
